"사업장","공장","SafeSeal타입","반입번호","제조오더번호","SN","기존 SN","신규 SN","사용자재목록","사용수량목록","최종공정","상태"
"HSIONES","P2","WIPE DOWN","260325-072-2","T226032500030","A0506293 219353633","","","","","출하검사","작업완료"
"HSIONES","P2","WIPE DOWN","260325-072-3","T226032500031","A0506293 219114408","","","","","출하검사","작업완료"
"HSIONES","P2","WIPE DOWN","260325-072-4","T226032500032","A0506293 223715713","","","","","출하검사","작업완료"
"HSIONES","P2","WIPE DOWN","260325-072-5","T226032500033","A0506293 219114418","","","","","출하검사","작업완료"
"HSIONES","P2","WIPE DOWN","260325-072-6","T226032500034","A0506293 223715706","","","","","출하검사","작업완료"
"HSIONES","P2","WIPE DOWN","260325-072-7","T226032500036","A0506293 226560011","","","","","출하검사","작업완료"
"HSIONES","P2","WIPE DOWN","260325-072-8","T226032500042","A0506293 212436913","","","","","출하검사","작업완료"
"HSIONES","P2","WIPE DOWN","260325-072-9","T226032500043","A0506293 162761409","","","","","출하검사","작업완료"
"HSIONES","P2","WIPE DOWN","260325-072-10","T226032500044","A0506293 193585108","","","","","출하검사","작업완료"
"HSIONES","P2","WIPE DOWN","260325-072-11","T226032500045","A0506293 137079704","","","","","출하검사","작업완료"
"HSIONES","P2","CHEM SOAK","260317-072-9","T226032600001","A0496495 133031106","","","","","출하검사","작업완료"
"HSIONES","P2","CHEM SOAK","260317-072-10","T226032600002","A0496495 133031108","","","","","출하검사","작업완료"
"HSIONES","P2","CHEM SOAK","260317-072-11","T226032600003","A0506293 129499602","","","","","출하검사","작업완료"
"HSIONES","P2","CHEM SOAK","260317-072-12","T226032600004","A0506293 137485315","","","","","출하검사","작업완료"
"HSIONES","P2","CHEM SOAK","260317-072-13","T226032600005","A0506293 193585111","","","","","출하검사","작업완료"
"HSIONES","P2","CHEM SOAK","260317-072-14","T226032600006","A0506293 137079705","","","","","출하검사","작업완료"
"HSIONES","P2","CHEM SOAK","260317-072-15","T226032600007","A0506293 233207216","","","","","출하검사","작업완료"
"HSIONES","P2","CHEM SOAK","260317-072-16","T226032600008","A0506293 235632802","","","","","출하검사","작업완료"
"HSIONES","P2","CHEM SOAK","260317-072-17","T226032600009","A0506293 178901402","","","","","출하검사","작업완료"
"HSIONES","P2","WIPE DOWN","260325-072-12","T226032600134","A0506293 160277815","","","","","출하검사","작업완료"
"HSIONES","P2","WIPE DOWN","260326-072-1","T226032600164","A0506293 127487020","","","","","출하검사","작업완료"
"HSIONES","P2","WIPE DOWN","260326-072-2","T226032700096","A0506293 173605601","","","","","출하검사","작업완료"
"HSIONES","P2","WIPE DOWN","260326-072-3","T226032700097","A0506293 162761410","","","","","출하검사","작업완료"
"HSIONES","P2","WIPE DOWN","260326-072-4","T226032700098","A0506293 127487003","","","","","출하검사","작업완료"
"HSIONES","P2","WIPE DOWN","260326-072-5","T226032700099","A0506293 162761407","","","","","출하검사","작업완료"
"HSIONES","P2","CHEM SOAK","260326-072-6","T226032700100","A0496495 129764515","","","","","출하검사","작업완료"
"HSIONES","P2","WIPE DOWN","260328-072-1","T226032700186","A0506293 246714906","","","","","출하검사","작업완료"
"HSIONES","P2","WIPE DOWN","260328-072-2","T226032700187","A0506293 219114406","","","","","출하검사","작업완료"
"HSIONES","P2","WIPE DOWN","260328-072-3","T226032700188","A0506293 219114410","","","","","출하검사","작업완료"
"HSIONES","P2","WIPE DOWN","260328-072-4","T226032700189","A0506293 231454613","","","","","출하검사","작업완료"
"HSIONES","P2","WIPE DOWN","260328-072-5","T226032700190","A0506293 234923610","","","","","출하검사","작업완료"
"HSIONES","P2","WIPE DOWN","260328-072-6","T226032700191","A0506293 233207210","","","","","출하검사","작업완료"
"HSIONES","P2","WIPE DOWN","260328-072-7","T226032700192","A0506293 193585105","","","","","출하검사","작업완료"
"HSIONES","P2","WIPE DOWN","260328-072-8","T226032700193","A0506293 127487011","","","","","출하검사","작업완료"
"HSIONES","P2","WIPE DOWN","260328-072-9","T226032700194","A0503421 127457612","","","","","출하검사","작업완료"
"HSIONES","P2","REFURB","260327-071-1","T226032700195","A0529179 150247313","","","","","출하검사","작업완료"
"HSIONES","P2","REFURB","260327-071-2","T226032700196","A0529179 143726602","","","","","출하검사","작업완료"
"HSIONES","P2","REFURB","260327-071-3","T226032700197","A0529179 143726604","","","","","출하검사","작업완료"
"HSIONES","P2","WIPE DOWN","260327-071-4","T226032700198","A0618162 223706206","","","","","출하검사","작업완료"
"HSIONES","P2","WIPE DOWN","260327-071-5","T226032700199","A0618162 229959701","","","","","출하검사","작업완료"
"HSIONES","P2","WIPE DOWN","260327-071-6","T226032700200","A0618162 225381411","","","","","출하검사","작업완료"
"HSIONES","P2","WIPE DOWN","260327-071-7","T226032700201","A0618162 209513604","","","","","출하검사","작업완료"
"HSIONES","P2","WIPE DOWN","260327-071-8","T226032700202","A0618162 221930113","","","","","출하검사","작업완료"
"HSIONES","P2","WIPE DOWN","260327-071-9","T226032700203","A0618162 236698601","","","","","출하검사","작업완료"
"HSIONES","P2","WIPE DOWN","260327-071-10","T226032700204","A0618162 220511509","","","","","출하검사","작업완료"
"HSIONES","P2","WIPE DOWN","260327-071-11","T226032700205","A0618162 219351903","","","","","출하검사","작업완료"
"HSIONES","P2","REFURB","260327-071-12","T226032700208","A0505752 196455922","","","A0405465","15","출하검사","작업완료"
"HSIONES","P2","REFURB","260327-071-12","T226032700208","A0505752 196455922","900040639 2422 20012","9000174472 4925 01228","A0453501","1","출하검사","작업완료"
"HSIONES","P2","WIPE DOWN","260330-071-1","T226033000053","A0609197 196327015","","","","","출하검사","작업완료"
"HSIONES","P2","WIPE DOWN","260330-071-2","T226033000062","A0609197 196327007","","","","","출하검사","작업완료"
"HSIONES","P2","WIPE DOWN","260330-071-3","T226033000063","A0609197 133040416","","","","","출하검사","작업완료"
"HSIONES","P2","WIPE DOWN","260330-072-1","T226033000065","A0506293 226560010","","","","","출하검사","작업완료"
"HSIONES","P2","WIPE DOWN","260330-072-2","T226033000070","A0506293 226560002","","","","","출하검사","작업완료"
"HSIONES","P2","WIPE DOWN","260330-072-3","T226033000082","A0506293 219353630","","","","","출하검사","작업완료"
"HSIONES","P2","WIPE DOWN","260330-072-4","T226033000085","A0506293 219114401","","","","","출하검사","작업완료"
"HSIONES","P2","WIPE DOWN","260330-072-5","T226033000098","A0506293 219353609","","","","","출하검사","작업완료"
"HSIONES","P2","WIPE DOWN","260330-072-6","T226033000100","A0506293 222247004","","","","","출하검사","작업완료"
"HSIONES","P2","WIPE DOWN","260331-072-1","T226033100010","A0506293 219114405","","","","","출하검사","작업완료"
"HSIONES","P2","WIPE DOWN","260331-072-2","T226033100018","A0506293 223715712","","","","","출하검사","작업완료"
"HSIONES","P2","WIPE DOWN","260331-072-3","T226033100022","A0506293 231454607","","","","","출하검사","작업완료"
"HSIONES","P2","WIPE DOWN","260331-072-4","T226033100023","A0506293 219114413","","","","","출하검사","작업완료"
"HSIONES","P2","CHEM SOAK","260331-072-5","T226033100024","A0506293 237274103","","","","","출하검사","작업완료"
"HSIONES","P2","CHEM SOAK","260331-072-6","T226033100026","A0506293 129499621","","","","","출하검사","작업완료"
"HSIONES","P2","CHEM SOAK","260331-072-7","T226033100029","A0506293 178290304","","","","","출하검사","작업완료"
"HSIONES","P2","REFURB","260331-072-8","T226033100035","A0506293 160277813","","","","","출하검사","작업완료"
"HSIONES","P2","CHEM SOAK","260331-072-9","T226033100037","A0506293 193585109","","","","","출하검사","작업완료"
"HSIONES","P2","REFURB","260331-072-10","T226033100040","A0506293 129499601","","","","","출하검사","작업완료"
"HSIONES","P2","CHEM SOAK","260331-072-11","T226033100045","A0506293 193585128","","","","","출하검사","작업완료"
"HSIONES","P2","REFURB","260331-072-12","T226033100046","A0506293 233207217","","","","","출하검사","작업완료"
"HSIONES","P2","CHEM SOAK","260331-072-13","T226033100050","A0506293 137485311","","","","","출하검사","작업완료"
"HSIONES","P2","CHEM SOAK","260331-072-14","T226033100055","A0506293 173605603","","","","","출하검사","작업완료"
"HSIONES","P2","CHEM SOAK","260331-071-1","T226033100077","A0508175 142639909","","","","","출하검사","작업완료"
"HSIONES","P2","REFURB","260331-071-2","T226033100078","A0496495 169372511","","","","","출하검사","작업완료"
"HSIONES","P2","REFURB","260331-071-3","T226033100079","A0496495 169372513","","","","","출하검사","작업완료"
"HSIONES","P2","CHEM SOAK","260331-071-4","T226033100080","A0496495 165294204","","","","","출하검사","작업완료"
"HSIONES","P2","CHEM SOAK","260331-071-5","T226033100081","A0496495 181479017","","","","","출하검사","작업완료"
