"","","","","","","","","","","","","","","","","","SHT update","","","","","","","","SHT update","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"No.","INDEX1","INDEX2","Customer","Fab","Tool","SS P/N","SS S/N","PO","0247#","수주번호","Note","S/D","Login date","Incoming date","Repair
Location","IONES->SHT","SHT->IONES","Arrival date
in iONES","CLN
Finsh date","Delivery
date","PM Reason","Arrived 
at SHT","Process Needed","Repaired","Refurb/replace reason","SHT Remark ","SHT PO","","Recycle
Count
(T-R-C)","Total wafer","Wafer Pass Copper","Wafer Pass
Nickel","WaferPass Tin-Silver","Wafer Pass 
Tin","Wafer Pass
Gold","Amp-Min Copper            ","Amp-Min 
Nickel","Amp-Min Tin-Silver","Amp-Min 
Tin","Amp-Min 
Gold","History file Date","Pass or Fail","DMR#","NC report content
(Auto // Need to update ""DMR Ctrl CV"" Sheet)","Status","Replcaement part","Repacement PN","Wafer Seal","Contact pin","Cotnact pin
Q'ty","기본
Screw","Screw
Q'ty","Screw other","Screw other
Q'ty","Retainer","Lead in","Lead in Q'ty"
"9762","137079705C","137079705-R0C","Hynix","","51640(Hynix)","A0506293","137079705","4517781864","0247-05612","240217-072-5","","","45336","45336","","","","","45342","45344","Safeseal PM Counts Reach","","","","","","","","2-0-2","1000","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"9763","137079702C","137079702-R0C","Hynix","","17769(Hynix)","A0506293","137079702","4517781668","0247-05612","240217-072-6","","","45336","45336","","","","","45342","45344","Safeseal PM Counts Reach","","","","","","","","1-0-1","1300","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"9764","129499608C","129499608-R0C","Hynix","","40383(Hynix)","A0506293","129499608","4517781709","0247-05612","240217-072-7","","","45336","45336","","","","","45342","45344","SS Plate UP","","","","","","","","2-0-2","41","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"9770","160277802C","160277802-R0C","Hynix","","21384(Hynix)","A0506293","160277802","4517781717","0247-05612","240217-072-13","","","45336","45336","","","","","45342","45344","SS Plate UP","","","","","","","","1-0-1","503","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"9771","178290304C","178290304-R0C","Hynix","","51640(Hynix)","A0506293","178290304","4517781862","0247-05612","240217-072-14","","","45336","45336","","","","","45342","45344","Safeseal PM Counts Reach","","","","","","","","2-0-2","1000","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"9773","194118901C","194118901-R0C","Hynix","","21384(Hynix)","A0506293","194118901","4517781715","0247-05612","240217-072-16","","","45336","45336","","","","","45342","45344","SS Plate UP","","","","","","","","2-0-2","389","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"9776","194118902C","194118902-R0C","Hynix","","51640(Hynix)","A0506293","194118902","4517781666","0247-05612","240217-072-19","","","45336","45336","","","","","45342","45344","Safeseal PM Counts Reach","","","","","","","","2-0-2","1000","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"9777","193585127C","193585127-R0C","Hynix","","21384(Hynix)","A0506293","193585127","4517781726","0247-05612","240217-072-20","","","45336","45336","","","","","45342","45344","SS Plate UP","","","","","","","","2-0-2","627","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"9781","121881901C","121881901-R0C","Hynix","","7022(Hynix)","A0503421","121881901","4517781906","0247-04585","240217-072-24","","","45336","45336","","","","","45342","45344","SS Plate UP","","","","","","","","2-0-2","145","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"9787","160277822C","160277822-R0C","Hynix","","21384(Hynix)","A0506293","160277822","4517781729","0247-05612","240217-072-30","","","45336","45336","","","","","45342","45344","SS Plate UP","","","","","","","","2-0-2","540","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"9789","178290310C","178290310-R0C","Hynix","","21384(Hynix)","A0506293","178290310","4517781713","0247-05612","240217-072-32","","","45336","45336","","","","","45342","45344","SS Plate UP","","","","","","","","2-0-2","614","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"9791","127457610C","127457610-R0C","Hynix","","7022(Hynix)","A0503421","127457610","4517781900","0247-04585","240217-072-34","","","45336","45336","","","","","45342","45344","SS Plate UP","","","","","","","","3-0-3","98","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"9793","129499623C","129499623-R0C","Hynix","","40383(Hynix)","A0506293","129499623","4517781707","0247-05612","240217-072-36","","","45336","45336","","","","","45342","45344","SS Plate UP","","","","","","","","2-0-2","216","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"9795","130895031C","130895031-R0C","Samsung","L16","18150(SEC)","A0503419","130895031","4517781725","0247-07525","240215-071-1","","","45336","45336","","","","","45342","45344","SS Plate UP","","","","","","","","1-0-1","790","790","","","790","","13127","","","2816","","","","","","","","","","","","","","","","","",""
"9797","124588309C","124588309-R0C","Samsung","L16","10393(SEC)","A0503419","124588309","4517781711","0247-07525","240215-071-3","","","45336","45336","","","","","45342","45344","SS Plate UP","","","","","","","","1-0-1","1041","1041","","","1040","","16607","","","3572","","","","","","","","","","","","","","","","","",""
"9798","151933513C","151933513-R0C","Samsung1","L16","18150(SEC)","A0496495","151933513","4517810003","0247-07611","240215-071-4","","","45336","45336","","","","","45342","45344","SS Plate UP","","","","","","","","1-0-1","892","892","","","892","","14844","","","3189","","","","","","","","","","","","","","","","","",""
"9799","124588318C","124588318-R0C","Samsung","L16","18150(SEC)","A0503419","124588318","4517781784","0247-07525","240215-071-5","","","45336","45336","","","","","45342","45344","SS Plate UP","","","","","","","","2-0-2","295","295","","","295","","4870","","","1045","","","","","","","","","","","","","","","","","",""
"9802","124588335C","124588335-R0C","Samsung","L16","10393(SEC)","A0503419","124588335","4517781722","0247-07525","240215-071-8","","","45336","45336","","","","","45342","45344","SS Plate UP","","","","","","","","1-0-1","994","994","","","992","","15855","","","3414","","","","","","","","","","","","","","","","","",""
"9803","130895027C","130895027-R0C","Samsung","L16","10393(SEC)","A0503419","130895027","4517781712","0247-07525","240215-071-9","","","45336","45336","","","","","45342","45344","SS Plate UP","","","","","","","","1-0-1","2275","2275","","","2273","","36220","","","7799","","","","","","","","","","","","","","","","","",""
"9804","124588332C","124588332-R0C","Samsung","L16","10393(SEC)","A0503419","124588332","4517781727","0247-07525","240215-071-10","","","45336","45336","","","","","45342","45344","SS Plate UP","","","","","","","","1-0-1","39","39","","","38","","592","","","128","","","","","","","","","","","","","","","","","",""
"9807","133031102C","133031102-R0C","Hynix","","23202(Hynix)","A0496495","133031102","4517774845","0247-04587","240215-072-2","","","45337","45337","","","","","45342","45344","SS Plate UP","","","","","","","","1-0-1","269","269","","","269","","","","","","","","","","","","","","","","","","","","","","",""
"9809","162761406C","162761406-R0C","Hynix","","40383(Hynix)","A0506293","162761406","4517789071","0247-05612","240216-072-1","","","45338","45338","","","","","45342","45344","SS Plate UP","","","","","","","","2-0-2","631","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"9810","193585113C","193585113-R0C","Hynix","","40383(Hynix)","A0506293","193585113","4517789068","0247-05612","240216-072-2","","","45338","45338","","","","","45342","45344","SS Plate UP","","","","","","","","1-0-1","288","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"9811","151933510C","151933510-R0C","Samsung1","L16","10393(SEC)","A0496495","151933510","4517793982","0247-07611","240216-071-1","","","45338","45338","","","","","45343","45344","SS Plate UP","","","","","","","","1-0-1","1879","1879","","","1875","","29909","","","6437","","","","","","","","","","","","","","","","","",""
"9814","125037301C","125037301-R1C","Samsung","L16","10393(SEC)","A0503419","125037301","4517793979","0247-07525","240216-071-4","","","45338","45338","","","","","45343","45344","SS Plate UP","","","","","","","","2-1-1","70","70","","","70","","1120","","","240","","","","","","","","","","","","","","","","","",""
"9815","130895039C","130895039-R0C","Samsung","L16","18150(SEC)","A0503419","130895039","4517793988","0247-07525","240216-071-5","","","45338","45338","","","","","45343","45344","SS Plate UP","","","","","","","","2-0-2","291","291","","","289","","4822","","","1207","","","","","","","","","","","","","","","","","",""
"9816","130895042C","130895042-R0C","Samsung","L16","10393(SEC)","A0503419","130895042","4517793984","0247-07525","240216-071-6","","","45338","45338","","","","","45343","45344","SS Plate UP","","","","","","","","1-0-1","147","147","","","147","","2303.88","","","406.62","","","","","","","","","","","","","","","","","",""
"9824","151933512C","151933512-R0C","Samsung1","L16","10393(SEC)","A0496495","151933512","4517801116","0247-07611","240219-071-1","","","45341","45341","","","","","45343","45344","SS Plate UP","","","","","","","","1-0-1","141","141","","","141","","2344","","","505","","","","","","","","","","","","","","","","","",""
"9825","125037303C","125037303-R0C","Samsung","L16","18150(SEC)","A0503419","125037303","4517801043","0247-07525","240219-071-2","","","45341","45341","","","","","45343","45344","SS Plate UP","","","","","","","","2-0-2","257","257","","","257","","4182","","","900","","","","","","","","","","","","","","","","","",""
"9829","125440601C","125440601-R0C","Hynix","","6190(Hynix)","A0503421","125440601","4517808878","0247-04585","240220-072-1","","","45342","45342","","","","","45343","45344","SS Plate UP","","","","","","","","3-0-3","122","122","","","","","","","","","","","","","","","","","","","","","","","","","",""
"9848","137485304C","137485304-R0C","Hynix","","51640(Hynix)","A0506293","137485304","4517808767","0247-05612","240220-072-20","","","45342","45342","","","","","45343","45344","blanket plating","","","","","","","","1-0-1","921","921","","","","","","","","","","","","","","","","","","","","","","","","","",""
"9851","125440607C","125440607-R0C","Hynix","","6190(Hynix)","A0503421","125440607","4517808879","0247-04585","240220-072-23","","","45342","45342","","","","","45343","45344","","","","","","","","","3-0-3","113","113","","","","","","","","","","","","","","","","","","","","","","","","","",""
"9556","127487019R","127487019R","Hynix","","40383(Hynix)","A0506293","127487019","4517659453","0247-05612","240124-072-18","","6","45321","45315","SHT","45321","45341","45344","","45345","Uniformity issue","45324","Chem Soak","","","","PO24013100008","","1-1-0","181","101","181","82","99","","","","","","","","","","","","","","","","","","","","","","",""
"9557","193585106R","193585106R","Hynix","","51640(Hynix)","A0506293","193585106","4517659460","0247-05612","240124-072-19","","6","45321","45315","SHT","45321","45341","45344","","45345","Uniformity issue","45324","Chem Soak","","","","PO24013100020","","1-1-0","666","","666","","","666","","","","","","","","","","","","","","","","","","","","","",""
"9558","127487015R","127487015R","Hynix","","51640(Hynix)","A0506293","127487015","4517659463","0247-05612","240124-072-20","","6","45321","45315","SHT","45321","45341","45344","","45345","Uniformity issue","45324","Chem Soak","","","","PO24013100007","","1-1-0","0","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"9559","165294217R","165294217R","Samsung","P2","45681(SEC)","A0563802","165294217","4517659684","0247-07965","240124-071-1","","6","45321","45315","SHT","45321","45341","45344","","45345","SS Plate UP","45324","Chem Soak","","","","PO24013100018","","1-1-0","2040","2040","","","2040","","","","","","","","","","","","","","","","","","","","","","",""
"9561","171644932R","171644932R","Samsung","P2","45681(SEC)","A0563802","171644932","4517659686","0247-07965","240124-071-3","","6","45321","45315","SHT","45321","45341","45344","","45345","SS Plate UP","45324","Chem Soak","","","","PO24013100019","","1-1-0","167","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"9581","124588316R","124588316R","Samsung","L16","18150(SEC)","A0503419","124588316","4517673012","0247-07525","240126-071-2","","4","45321","45317","SHT","45321","45341","45344","","45345","SS Plate UP","45324","Refurb","Wafer seal","seal delamination","Wafer Seal A0435265","PO24013100003","","2-1-0","293","293","","","293","","4919.77","","","1055.95","","","","","","","","","","","","","","","","","",""
"9583","124588330R","124588330R","Samsung","L16","18150(SEC)","A0503419","124588330","4517673014","0247-07525","240126-071-4","","4","45321","45317","SHT","45321","45341","45344","","45345","SS Plate UP","45324","Chem Soak","","","","PO24013100004","","1-1-0","427","427","","","427","","6976","","","1501","","","","","","","","","","","","","","","","","",""
"9587","130895004R","130895004R","Samsung","L16","18150(SEC)","A0503419","130895004","4517673019","0247-07525","240126-071-8","","4","45321","45317","SHT","45321","45341","45344","","45345","SS Plate UP","45324","Refurb","Wafer seal","seal delamination","Wafer Seal A0435265","PO24013100009","","1-1-0","513","513","","","513","","8590.14","","","1846.93","","","","","","","","","","","","","","","","","",""
"9589","130895041R","130895041R","Samsung","L16","10393(SEC)","A0503419","130895041","4517673033","0247-07525","240126-071-10","","4","45321","45317","SHT","45321","45341","45344","","45345","SS Plate UP","45324","Chem Soak","","","","PO24013100012","","1-1-0","1402","1402","","","1402","","22278.21","","","4796.58","","","","","","","","","","","","","","","","","",""
"9590","125037314R","125037314R","Samsung","L16","10393(SEC)","A0503419","125037314","4517673020","0247-07525","240126-071-11","","4","45321","45317","SHT","45321","45341","45344","","45345","SS Plate UP
바코드 교체 필요","45324","Refurb","Wafer seal","seal delamination","Wafer Seal A0435265","PO24013100005","","1-1-0","2915","2915","","","2915","","46125.8","","","9921.44","","","","","","","","","","","","","","","","","",""
"9591","130895032R","130895032R","Samsung","L16","18150(SEC)","A0503419","130895032","4517673017","0247-07525","240126-071-12","","4","45321","45317","SHT","45321","45341","45344","","45345","SS Plate UP","45324","Refurb","Wafer seal","seal delamination","Wafer Seal A0435265","PO24013100011","","1-1-0","345","345","","","345","","5743.93","","","1233.67","","","","","","","","","","","","","","","","","",""
"9592","144780406R","144780406R","Samsung","L5","9049(SEC)","A0508175","144780406","4517672858","0247-04900","240126-071-13","","4","45321","45317","SHT","45321","45341","45344","","45345","Safeseal PM Counts Reach","45324","Refurb","contact","contact missing *2","contact A0477606","PO24013100016","","1-1-0","2722","2722","","","","","146417.69","","","","","","","","","","","","","","","","","","","","",""
"9593","142186017R","142186017R","Samsung","L5","8324(SEC)","A0508175","142186017","4517672856","0247-04900","240126-071-14","","4","45321","45317","SHT","45321","45341","45344","","45345","Safeseal PM Counts Reach","45324","Refurb","contact","contact missing *1","contact A0477606","PO24013100015","","1-1-0","5000","5000","","","","","","","","","","","","","","","","","","","","","","","","","",""
"9594","142186013R","142186013R","Samsung","L5","8324(SEC)","A0508175","142186013","4517672857","0247-04900","240126-071-15","","4","45321","45317","SHT","45321","45341","45344","","45345","Safeseal PM Counts Reach","45324","Refurb","contact","contact missing *1","contact A0477606","PO24013100014","","1-1-0","0","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"9595","141414302R","141414302R","Samsung","L5","9049(SEC)","A0508175","141414302","4517672861","0247-04900","240126-071-16","","4","45321","45317","SHT","45321","45341","45344","","45345","Contact pin Broken","45324","Refurb","contact","contact missing *1","contact A0477606","PO24013100013","","1-1-0","4590","4590","","","","","910984.54","","","","","","","","","","","","","","","","","","","","",""
"9830","194118908C","194118908-R0C","Hynix","","51640(Hynix)","A0506293","194118908","4517808782","0247-05612","240220-072-2","","","45342","45342","","","","","45344","45345","blanket plating","","","","","","","","2-0-2","829","829","","","","","","","","","","","","","","","","","","","","","","","","","",""
"9833","127487022C","127487022-R0C","Hynix","","21384(Hynix)","A0506293","127487022","4517808784","0247-05612","240220-072-5","","","45342","45342","","","","","45344","45345","blanket plating","","","","","","","","1-0-1","614","614","","","","","","","","","","","","","","","","","","","","","","","","","",""
"9836","193585122C","193585122-R0C","Hynix","","40383(Hynix)","A0506293","193585122","4517808772","0247-05612","240220-072-8","","","45342","45342","","","","","45344","45345","SS Plate UP","","","","","","","","2-0-2","587","587","","","","","","","","","","","","","","","","","","","","","","","","","",""
"9837","160277804C","160277804-R0C","Hynix","","40383(Hynix)","A0506293","160277804","4517808774","0247-05612","240220-072-9","","","45342","45342","","","","","45344","45345","SS Plate UP","","","","","","","","2-0-2","437","437","","","","","","","","","","","","","","","","","","","","","","","","","",""
"9838","160277807C","160277807-R0C","Hynix","","40383(Hynix)","A0506293","160277807","4517808773","0247-05612","240220-072-10","","","45342","45342","","","","","45344","45345","SS Plate UP","","","","","","","","2-0-2","348","348","","","","","","","","","","","","","","","","","","","","","","","","","",""
"9840","137485303C","137485303-R0C","Hynix","","17769(Hynix)","A0506293","137485303","4517808770","0247-05612","240220-072-12","","","45342","45342","","","","","45344","45345","","","","","","","","","2-0-2","107","107","","","","","","","","","","","","","","","","","","","","","","","","","",""
"9841","137079712C","137079712-R0C","Hynix","","17769(Hynix)","A0506293","137079712","4517808785","0247-05612","240220-072-13","","","45342","45342","","","","","45344","45345","W/S Broken","","","","","","","","1-0-1","489","489","","","","","","","","","","","","","","","","","","","","","","","","","",""
"9843","129499611C","129499611-R0C","Hynix","","40383(Hynix)","A0506293","129499611","4517808769","0247-05612","240220-072-15","","","45342","45342","","","","","45344","45345","SS Plate UP","","","","","","","","2-0-2","487","487","","","","","","","","","","","","","","","","","","","","","","","","","",""
"9844","129499604C","129499604-R0C","Hynix","","40383(Hynix)","A0506293","129499604","4517808771","0247-05612","240220-072-16","","","45342","45342","","","","","45344","45345","SS Plate UP","","","","","","","","2-0-2","386","386","","","","","","","","","","","","","","","","","","","","","","","","","",""
"9845","137079707C","137079707-R0C","Hynix","","17769(Hynix)","A0506293","137079707","4517808764","0247-05612","240220-072-17","","","45342","45342","","","","","45344","45345","Safeseal PM Counts Reach","","","","","","","","2-0-2","1300","1300","","","","","","","","","","","","","","","","","","","","","","","","","",""
"9847","137485314C","137485314-R0C","Hynix","","21384(Hynix)","A0506293","137485314","4517808787","0247-05612","240220-072-19","","","45342","45342","","","","","45344","45345","blanket plating","","","","","","","","1-0-1","877","877","","","","","","","","","","","","","","","","","","","","","","","","","",""
"9853","129499601C","129499601-R0C","Hynix","","40383(Hynix)","A0506293","129499601","4517808777","0247-05612","240220-072-25","","","45342","45342","","","","","45344","45345","SS Plate UP","","","","","","","","2-0-2","689","689","","","","","","","","","","","","","","","","","","","","","","","","","",""
"9529","125037305R","125037305R","Samsung","L16","18150(SEC)","A0503419","125037305","4517642688","0247-07525","240123-071-1","","7","45320","45313","SHT","45320","45338","45345","","45346","SS Plate UP","45324","Refurb","Wafer seal","seal delamination","Wafer Seal A0435265","PO24012900005","","1-1-0","135","135","","","135","","2244","","","482","","","","","","","","","","","","","","","","","",""
"9530","125037308R","125037308R","Samsung","L16","18150(SEC)","A0503419","125037308","4517642689","0247-07525","240123-071-2","","7","45320","45313","SHT","45320","45338","45345","","45346","SS Plate UP","45324","Refurb","Wafer seal","seal delamination","Wafer Seal A0435265","PO24012900006","","1-1-0","75","75","","","75","","1232","","","265","","","","","","","","","","","","","","","","","",""
"9536","142186016R","142186016R","Samsung","L5","8324(SEC)","A0508175","142186016","4517651162","0247-04900","240123-071-4","","6","45320","45314","SHT","45320","45338","45345","","45346","Safeseal PM Counts Reach","45324","Chem Soak","","","","PO24012900013","","1-1-0","9437","9437","","","","","409843.13","","","","","","","","","","","","","","","","","","","","",""
"9537","142639903R","142639903R","Samsung","L5","9049(SEC)","A0508175","142639903","4517651105","0247-04900","240123-071-5","","6","45320","45314","SHT","45320","45338","45345","","45346","Safeseal PM Counts Reach","45324","Chem Soak","","","","PO24012900014","","1-1-0","9994","9994","","","","","740355.7","","","","","","","","","","","","","","","","","","","","",""
"9538","142639907R","142639907R","Samsung","L5","8324(SEC)","A0508175","142639907","4517651137","0247-04900","240123-071-6","","6","45320","45314","SHT","45320","45338","45345","","45346","Safeseal PM Counts Reach","45324","Chem Soak","","","","PO24012900015","","1-1-0","21194","21194","","","","","389192.6","","","","","","","","","","","","","","","","","","","","",""
"9545","129499612R","129499612R","Hynix","","62160(Hynix)","A0506293","129499612","4517659445","0247-05612","240124-072-7","","5","45320","45315","SHT","45320","45338","45345","","45346","Safeseal PM Counts Reach","45324","Chem Soak","","","","PO24012900007","","1-1-0","1300","","1300","","","1299","","","","","","","","","","","","","","","","","","","","","",""
"9550","178290318R","178290318R","Hynix","","62160(Hynix)","A0506293","178290318","4517659459","0247-05612","240124-072-12","","5","45320","45315","SHT","45320","45338","45345","","45346","Safeseal PM Counts Reach","45324","Chem Soak","","","","PO24012900023","","1-1-0","1300","","1300","","","1298","","","","","","","","","","","","","","","","","","","","","",""
"9560","182789206R","182789206R","Samsung","P2","45681(SEC)","A0496495","182789206","4517659688","0247-06824","240124-071-2","","5","45320","45315","SHT","45320","45338","45345","","45346","SS Plate UP","45324","Chem Soak","","","","PO24012900026","","1-1-0","843","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"9562","182789207R","182789207R","Samsung","P2","45681(SEC)","A0496495","182789207","4517659685","0247-06824","240124-071-4","","5","45320","45315","SHT","45320","45338","45345","","45346","SS Plate UP","45324","Chem Soak","","","","PO24012900027","","1-1-0","696","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"9563","165294212R","165294212R","Samsung","P2","45681(SEC)","A0496495","165294212","4517660067","0247-06824","240124-071-5","","5","45320","45315","SHT","45320","45338","45345","","45346","SS Plate UP","45324","Chem Soak","","","","PO24012900016","","1-1-0","551","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"9565","181479018R","181479018R","Samsung","P2","45681(SEC)","A0496495","181479018","4517659683","0247-06824","240124-071-7","","5","45320","45315","SHT","45320","45338","45345","","45346","SS Plate UP","45324","Chem Soak","","","","PO24012900025","","1-1-0","985","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"9567","179773106R","179773106R","Samsung","P2","45681(SEC)","A0496495","179773106","4517660077","0247-06824","240124-071-9","","5","45320","45315","SHT","45320","45338","45345","","45346","SS Plate UP","45324","Chem Soak","","","","PO24012900024","","1-1-0","704","704","","","704","","","","","","","","","","","","","","","","","","","","","","",""
"9568","168846633R","168846633R","Samsung","P2","45681(SEC)","A0563802","168846633","4517659689","0247-07965","240124-071-10","","5","45320","45315","SHT","45320","45338","45345","","45346","SS Plate UP","45324","Chem Soak","","","","PO24012900019","","1-1-0","966","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"9569","171644929R","171644929R","Samsung","P2","45681(SEC)","A0496495","171644929","4517659691","0247-06824","240124-071-11","","5","45320","45315","SHT","45320","45338","45345","","45346","SS Plate UP","45324","Refurb","Wafer seal","seal delamination","Wafer Seal A0435265","PO24012900022","","1-1-0","190","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"9570","165294218R","165294218R","Samsung","P2","45681(SEC)","A0563802","165294218","4517659692","0247-07965","240124-071-12","","5","45320","45315","SHT","45320","45338","45345","","45346","SS Plate UP","45324","Chem Soak","","","","PO24012900017","","1-1-0","627","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"9574","129764519R","129764519R","Hynix","","23202(Hynix)","A0496495","129764519","4517666528","0247-04587","240125-072-4","","4","45320","45316","SHT","45320","45338","45345","","45346","SS Plate UP","45324","Chem Soak","","","","PO24012900008","","1-1-0","826","826","","","826","","23714.9","","","3829.41","","","","","","","","","","","","","","","","","",""
"9588","130895026R","130895026R","Samsung","L16","18150(SEC)","A0503419","130895026","4517673030","0247-07525","240126-071-9","","4","45321","45317","SHT","45321","45341","45344","","45346","SS Plate UP","45324","Refurb","Wafer seal","seal delamination","Wafer Seal A0435265","PO24013100010","","2-1-0","3","3","","","3","","48","","","10.32","","","","","","","","","","","","","","","","","",""
"9835","173605601C","173605601-R0C","Hynix","","40383(Hynix)","A0506293","173605601","4517808778","0247-05612","240220-072-7","","","45342","45342","","","","","45345","45346","SS Plate UP","","","","","","","","2-0-2","596","596","","","","","","","","","","","","","","","","","","","","","","","","","",""
"9839","129499602C","129499602-R0C","Hynix","","40383(Hynix)","A0506293","129499602","4517808776","0247-05612","240220-072-11","","","45342","45342","","","","","45345","45346","SS Plate UP","","","","","","","","2-0-2","486","486","","","","","","","","","","","","","","","","","","","","","","","","","",""
"9842","160277817C","160277817-R0C","Hynix","","40383(Hynix)","A0506293","160277817","4517808775","0247-05612","240220-072-14","","","45342","45342","","","","","45345","45346","SS Plate UP","","","","","","","","2-0-2","570","570","","","","","","","","","","","","","","","","","","","","","","","","","",""
"9852","194118903C","194118903-R0C","Hynix","","40383(Hynix)","A0506293","194118903","4517808765","0247-05612","240220-072-24","","","45342","45342","","","","","45345","45346","SS Plate UP","","","","","","","","2-0-2","751","751","","","","","","","","","","","","","","","","","","","","","","","","","",""
"9859","133031109C","133031109-R0C","Hynix","","23202(Hynix)","A0496495","133031109","4517827950","0247-04587","240222-072-1","","","45344","45344","","","","","45345","45346","","","","","","","","","2-0-2","60","60","","","60","","1199.84","","","184.24","","","","","","","","","","","","","","","","","",""
"9860","160277814C","160277814-R0C","Hynix","","40383(Hynix)","A0506293","160277814","4517820507","0247-05612","240222-072-2","","","45344","45344","","","","","45345","45346","SS Plate UP","","","","","","","","2-0-2","825","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"9862","129764507C","129764507-R0C","Hynix","","23202(Hynix)","A0496495","129764507","4517827951","0247-04587","240222-072-4","","","45344","45344","","","","","45345","45346","","","","","","","","","1-0-1","394","394","","","394","","7874.3","","","1205.1","","","","","","","","","","","","","","","","","",""
"9500","150247314R","150247314R","LB Semicon","","","A0529179","150247314","4517621435","0247-05505","240206-500-1","","21","45330","45309","SHT","45330","45345","45349","","45352","","45338","Refurb","Wafer seal","seal delamination","Wafer Seal A0526894","PO24020700027","","1-1-0","0","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"9533","142186004R","142186004R","Samsung","L5","9049(SEC)","A0508175","142186004","4517642781","0247-04900","240122-071-2","","7","45320","45313","SHT","45320","45343","45348","","45352","Safeseal PM Counts Reach","45324","Chem Soak","","","","PO24012900012","","1-1-0","5000","5000","","","","","719524.5","","","","","","","","","","","","","","","","","","","","",""
"9547","137079711R","137079711R","Hynix","","62160(Hynix)","A0506293","137079711","4517659442","0247-05612","240124-072-9","","5","45320","45315","SHT","45320","45343","45348","","45352","Safeseal PM Counts Reach","45324","Chem Soak","","","","PO24012900009","","1-1-0","1300","","1300","","","1299","","","","","","","","","","","","","","","","","","","","","",""
"9554","137485310R","137485310R","Hynix","","62160(Hynix)","A0506293","137485310","4517659444","0247-05612","240124-072-16","","5","45320","45315","SHT","45320","45343","45348","","45352","Safeseal PM Counts Reach","45324","Chem Soak","","","","PO24012900011","","1-1-0","1300","","1300","","","1299","","","","","","","","","","","","","","","","","","","","","",""
"9564","171644928R","171644928R","Samsung","P2","45681(SEC)","A0496495","171644928","4517659694","0247-06824","240124-071-6","","5","45320","45315","SHT","45320","45343","45348","","45352","SS Plate UP","45324","Chem Soak","","","","PO24012900021","","1-1-0","263","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"9566","169372522R","169372522R","Samsung","P2","45681(SEC)","A0496495","169372522","4517660071","0247-06824","240124-071-8","","5","45320","45315","SHT","45320","45343","45348","","45352","SS Plate UP","45324","Refurb","Wafer seal","seal damage","Wafer Seal A0435265","PO24012900020","","1-1-0","277","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"9572","137079713R","137079713R","Hynix","","62160(Hynix)","A0506293","137079713","4517666526","0247-05612","240125-072-2","","4","45320","45316","SHT","45320","45343","45348","","45352","Safeseal PM Counts Reach","45324","Chem Soak","","","","PO24012900010","","1-1-0","1300","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"9584","130895011R","130895011R","Samsung","L16","18150(SEC)","A0503419","130895011","4517673034","0247-07525","240126-071-5","","7","45324","45317","SHT","45324","45343","45348","","45352","SS High Voltage","45328","Chem Soak","","","","PO24020100032","","1-1-0","172","172","","","172","","2978","","","638","","","","","","","","","","","","","","","","","",""
"9600","133030915R","133030915R","Samsung","TSV","","A0506293","133030915","4517679443","0247-04617","240129-071-3","","4","45324","45320","SHT","45324","45343","45348","","45352","Inspection","45328","Chem Soak","","","","PO24020100034","","1-1-0","201","5","201","","","201","256","3388","","","","","","","","","","","","","","","","","","","",""
"9606","129764514R","129764514R","Hynix","","23202(Hynix)","A0496495","129764514","4517679707","0247-04587","240129-072-3","","4","45324","45320","SHT","45324","45343","45348","","45352","SS Plate UP","45328","Refurb","Wafer seal","seal delamination","Wafer Seal A0435265","PO24020100031","","1-1-0","727","727","724","","","717","8526.67","11769.73","","","1426.57","","","","","","","","","","","","","","","","",""
